Equipo Objetivo;Equipo Rival;Y;pot_ataque_obj;pot_defensa_riv;goles_favor_obj;goles_contra_riv;mundial_anterior;mejores_cuatro;puntaje_fifa_obj;puntaje_fifa_riv;cabeza_serie_obj;cabeza_serie_riv;ranking_fifa_obj;ranking_fifa_riv
Argentina;Serbia y Montenegro;6;87;65;2;0.5;1;0;746;610;1;0;9;44
Serbia y Montenegro;Argentina;0;67;85;1;1.5;0;0;610;746;0;1;44;9
Paêses Bajos;Costa de Marfil;2;67;65;1.25;0.91;0;0;768;669;0;0;3;32
Costa de Marfil;Paêses Bajos;1;67;65;1.36;0.5;0;0;669;768;0;0;32;3
M_xico;Angola;0;72;65;1.13;1.6;1;0;758;581;1;0;4;57
Angola;M_xico;0;67;69;1.6;0.88;0;0;581;758;0;1;57;4
Portugal;Ri de Irön;2;86;65;3.33;1.5;1;0;750;686;0;0;7;24
Ri de Irön;Portugal;0;67;83;3.5;0.33;1;0;686;750;0;0;24;7
Rep“blica Checa;Ghana;0;85;65;2;1.11;0;0;772;600;0;0;2;48
Ghana;Rep“blica Checa;2;67;79;1.11;0.5;0;0;600;772;0;0;48;2
Italia;Estados Unidos;1;88;74;1.67;0.73;1;0;728;756;1;0;13;6
Estados Unidos;Italia;1;74;88;1.73;0.67;1;0;756;728;0;1;6;13
Japãn;Croacia;0;67;81;1.89;1.43;1;0;705;686;0;0;18;23
Croacia;Japãn;0;80;65;2;1;1;0;686;705;0;0;23;18
Brasil;Australia;2;92;72;2.5;0.75;1;1;827;612;1;0;1;42
Australia;Brasil;0;83;86;2;0;0;0;612;827;0;1;42;1
Francia;Rep“blica de Corea;1;92;65;1.75;0.67;1;0;749;677;1;0;8;30
Rep“blica de Corea;Francia;1;67;84;1;0.75;1;1;677;749;0;1;30;8
Togo;Suiza;0;67;78;0.57;1;0;0;569;648;0;0;61;35
Suiza;Togo;2;79;65;2.25;1.29;0;0;648;569;0;0;35;61
Arabia Saudita;Ucrania;0;67;65;1.08;0;1;0;651;609;0;0;34;45
Ucrania;Arabia Saudita;4;67;65;2;1.38;0;0;609;651;0;0;45;34
Espa_a;T“nez;3;86;68;1.75;0.67;1;0;756;693;1;0;5;21
T“nez;Espa_a;1;69;85;1.44;0.75;1;0;693;756;0;1;21;5
Ecuador;Alemania;0;67;82;0.6;1.4;1;0;631;696;0;1;39;19
Alemania;Ecuador;3;85;65;3.4;1;1;1;696;631;1;0;19;39
Costa Rica;Polonia;1;67;71;0.75;0.83;1;0;683;677;0;0;26;29
Polonia;Costa Rica;2;74;65;1.33;2;1;0;677;683;0;0;29;26
Suecia;Inglaterra;2;85;86;0.4;0.67;1;0;709;741;0;1;16;10
Inglaterra;Suecia;2;91;76;3.67;1;1;0;741;709;1;0;10;16
Paraguay;Trinidad y Tobago;2;79;65;1;1.8;1;0;653;604;0;0;33;47
Trinidad y Tobago;Paraguay;0;67;69;1;1;0;0;604;653;0;0;47;33
Ri de Irön;Angola;1;67;65;3.5;1.6;1;0;686;581;0;0;24;57
Angola;Ri de Irön;1;67;65;1.6;1.5;0;0;581;686;0;0;57;24
Portugal;M_xico;2;86;69;3.33;0.88;1;0;750;758;0;1;7;4
M_xico;Portugal;1;72;83;1.13;0.33;1;0;758;750;1;0;4;7
Paêses Bajos;Argentina;0;67;85;1.25;1.5;0;0;768;746;0;1;3;9
Argentina;Paêses Bajos;0;87;65;2;0.5;1;0;746;768;1;0;9;3
Costa de Marfil;Serbia y Montenegro;3;67;65;1.36;0.5;0;0;669;610;0;0;32;44
Serbia y Montenegro;Costa de Marfil;2;67;65;1;0.91;0;0;610;669;0;0;44;32
Rep“blica Checa;Italia;0;85;88;2;0.67;0;0;772;728;0;1;2;13
Italia;Rep“blica Checa;2;88;79;1.67;0.5;1;0;728;772;1;0;13;2
Ghana;Estados Unidos;2;67;74;1.11;0.73;0;0;600;756;0;0;48;6
Estados Unidos;Ghana;1;74;65;1.73;1.11;1;0;756;600;0;0;6;48
Japãn;Brasil;1;67;86;1.89;0;1;0;705;827;0;1;18;1
Brasil;Japãn;4;92;65;2.5;1;1;1;827;705;1;0;1;18
Croacia;Australia;2;80;72;2;0.75;1;0;686;612;0;0;23;42
Australia;Croacia;2;83;81;2;1.43;0;0;612;686;0;0;42;23
Ucrania;T“nez;1;67;68;2;0.67;0;0;609;693;0;0;45;21
T“nez;Ucrania;0;69;65;1.44;0;1;0;693;609;0;0;21;45
Arabia Saudita;Espa_a;0;67;85;1.08;0.75;1;0;651;756;0;1;34;5
Espa_a;Arabia Saudita;1;86;65;1.75;1.38;1;0;756;651;1;0;5;34
Togo;Francia;0;67;84;0.57;0.75;0;0;569;749;0;1;61;8
Francia;Togo;2;92;65;1.75;1.29;1;0;749;569;1;0;8;61
Suiza;Rep“blica de Corea;2;79;65;2.25;0.67;0;0;648;677;0;0;35;30
Rep“blica de Corea;Suiza;0;67;78;1;1;1;1;677;648;0;0;30;35
Alemania;Suecia;2;85;76;3.4;1;1;1;696;709;1;0;19;16
Suecia;Alemania;0;85;82;0.4;1.4;1;0;709;696;0;1;16;19
Argentina;M_xico;2;87;69;2;0.88;1;0;746;758;1;1;9;4
M_xico;Argentina;1;72;85;1.13;1.5;1;0;758;746;1;1;4;9
Inglaterra;Ecuador;1;91;65;3.67;1;1;0;741;631;1;0;10;39
Ecuador;Inglaterra;0;67;86;0.6;0.67;1;0;631;741;0;1;39;10
Portugal;Paêses Bajos;1;86;65;3.33;0.5;1;0;750;768;0;0;7;3
Paêses Bajos;Portugal;0;67;83;1.25;0.33;0;0;768;750;0;0;3;7
Italia;Australia;1;88;72;1.67;0.75;1;0;728;612;1;0;13;42
Australia;Italia;0;83;88;2;0.67;0;0;612;728;0;1;42;13
Suiza;Ucrania;0;79;65;2.25;0;0;0;648;609;0;0;35;45
Ucrania;Suiza;0;67;78;2;1;0;0;609;648;0;0;45;35
Brasil;Ghana;3;92;65;2.5;1.11;1;1;827;600;1;0;1;48
Ghana;Brasil;0;67;86;1.11;0;0;0;600;827;0;1;48;1
Espa_a;Francia;1;86;84;1.75;0.75;1;0;756;749;1;1;5;8
Francia;Espa_a;3;92;85;1.75;0.75;1;0;749;756;1;1;8;5
Argentina;Alemania;1;87;82;2;1.4;1;0;746;696;1;1;9;19
Alemania;Argentina;1;85;85;3.4;1.5;1;1;696;746;1;1;19;9
Italia;Ucrania;3;88;65;1.67;0;1;0;728;609;1;0;13;45
Ucrania;Italia;0;67;88;2;0.67;0;0;609;728;0;1;45;13
Inglaterra;Portugal;0;91;83;3.67;0.33;1;0;741;750;1;0;10;7
Portugal;Inglaterra;0;86;86;3.33;0.67;1;0;750;741;0;1;7;10
Brasil;Francia;0;92;84;2.5;0.75;1;1;827;749;1;1;1;8
Francia;Brasil;1;92;86;1.75;0;1;0;749;827;1;1;8;1
Alemania;Italia;0;85;88;3.4;0.67;1;1;696;728;1;1;19;13
Italia;Alemania;2;88;82;1.67;1.4;1;0;728;696;1;1;13;19
Portugal;Francia;0;86;84;3.33;0.75;1;0;750;749;0;1;7;8
Francia;Portugal;1;92;83;1.75;0.33;1;0;749;750;1;0;8;7
Alemania;Portugal;3;85;83;3.4;0.33;1;1;696;750;1;0;19;7
Portugal;Alemania;1;86;82;3.33;1.4;1;0;750;696;0;1;7;19
Italia;Francia;1;88;84;1.67;0.75;1;0;728;749;1;1;13;8
Francia;Italia;1;92;88;1.75;0.67;1;0;749;728;1;1;8;13
Sudöfrica;M_xico;1;72;76;2.36;0.67;0;0;392;895;1;0;83;17
M_xico;Sudöfrica;1;75;70;1.75;0.55;1;0;895;392;0;1;17;83
Uruguay;Francia;0;84;83;3.5;1.25;0;0;899;1044;0;0;16;9
Francia;Uruguay;0;85;78;0.75;1;1;1;1044;899;0;0;9;16
Rep“blica de Corea;Grecia;2;70;76;1.73;2;1;0;632;964;0;0;47;13
Grecia;Rep“blica de Corea;0;76;67;0.67;0.91;0;0;964;632;0;0;13;47
Argentina;Nigeria;1;87;64;3;0.73;1;0;1076;883;1;0;7;21
Nigeria;Argentina;0;67;78;1.36;0.6;0;0;883;1076;0;1;21;7
Inglaterra;Estados Unidos;1;82;73;2.67;2;1;0;1068;957;1;0;8;14
Estados Unidos;Inglaterra;1;72;84;1.83;1;1;0;957;1068;0;1;14;8
Argelia;Eslovenia;0;67;68;0.56;1;0;0;821;860;0;0;30;25
Eslovenia;Argelia;1;74;64;3.5;1.78;0;0;860;821;0;0;25;30
Serbia;Ghana;0;67;64;2;1.11;0;0;947;800;0;0;15;32
Ghana;Serbia;1;67;64;0.78;0.8;1;0;800;947;0;0;32;15
Alemania;Australia;4;84;73;2.25;1.2;1;1;1082;886;1;0;6;20
Australia;Alemania;0;75;81;1.4;0.5;1;0;886;1082;0;1;20;6
Paêses Bajos;Dinamarca;2;83;75;3.5;1;1;0;1231;767;0;0;4;36
Dinamarca;Paêses Bajos;0;75;77;0.75;1;0;0;767;1231;0;0;36;4
Japãn;Camer“n;1;67;75;0.91;1.7;1;0;682;887;0;0;45;19
Camer“n;Japãn;0;80;64;1.4;1.27;0;0;887;682;0;0;19;45
Italia;Paraguay;1;83;74;0.67;1;1;1;1184;820;1;0;5;31
Paraguay;Italia;1;75;81;1.4;1;1;0;820;1184;0;1;31;5
Nueva Zelanda;Eslovaquia;1;67;64;0.6;0.67;0;0;410;777;0;0;78;34
Eslovaquia;Nueva Zelanda;1;67;64;1.33;1.8;0;0;777;410;0;0;34;78
Costa de Marfil;Portugal;0;67;82;1.5;0.25;1;0;856;1249;0;0;27;3
Portugal;Costa de Marfil;0;79;64;2;1;1;1;1249;856;0;0;3;27
Brasil;RDP de Corea;2;86;64;3.33;1.08;1;0;1611;285;1;0;1;105
RDP de Corea;Brasil;1;67;83;1.54;0.33;0;0;285;1611;0;1;105;1
Honduras;Chile;0;67;64;0.83;0.25;0;0;734;888;0;0;38;18
Chile;Honduras;1;67;64;1.63;1.5;0;0;888;734;0;0;18;38
Espa_a;Suiza;0;87;75;3;1.67;1;0;1565;866;1;0;2;24
Suiza;Espa_a;1;75;83;0.67;0.5;1;0;866;1565;0;1;24;2
Sudöfrica;Uruguay;0;72;78;2.36;1;0;0;392;899;1;0;83;16
Uruguay;Sudöfrica;3;84;70;3.5;0.55;0;0;899;392;0;1;16;83
Argentina;Rep“blica de Corea;4;87;67;3;0.91;1;0;1076;632;1;0;7;47
Rep“blica de Corea;Argentina;1;70;78;1.73;0.6;1;0;632;1076;0;1;47;7
Grecia;Nigeria;2;76;64;0.67;0.73;0;0;964;883;0;0;13;21
Nigeria;Grecia;1;67;76;1.36;2;0;0;883;964;0;0;21;13
Francia;M_xico ;0;85;76;0.75;0.67;1;1;1044;895;0;0;9;17
M_xico;Francia;2;75;83;1.75;1.25;1;0;895;1044;0;0;17;9
Alemania;Serbia;0;84;64;2.25;0.8;1;1;1082;947;1;0;6;15
Serbia;Alemania;1;67;81;2;0.5;0;0;947;1082;0;1;15;6
Eslovenia;Estados Unidos;2;74;73;3.5;2;0;0;860;957;0;0;25;14
Estados Unidos;Eslovenia;2;72;68;1.83;1;1;0;957;860;0;0;14;25
Inglaterra;Argelia;0;82;64;2.67;1.78;1;0;1068;821;1;0;8;30
Argelia;Japãn;0;67;64;0.56;1.27;0;0;821;682;0;0;30;45
Paêses Bajos;Japãn;1;83;64;3.5;1.27;1;0;1231;682;0;0;4;45
Japãn;Paêses Bajos;0;67;77;0.91;1;1;0;682;1231;0;0;45;4
Ghana;Australia;1;67;73;0.78;1.2;1;0;800;886;0;0;32;20
Australia;Ghana;1;75;64;1.4;1.11;1;0;886;800;0;0;20;32
Camer“n;Dinamarca;1;80;75;1.4;1;0;0;887;767;0;0;19;36
Dinamarca;Camer“n;2;75;75;0.75;1.7;0;0;767;887;0;0;36;19
Eslovaquia;Paraguay;0;67;74;1.33;1;0;0;777;820;0;0;34;31
Paraguay;Eslovaquia;2;75;64;1.4;0.67;1;0;820;777;0;0;31;34
Italia;Nueva Zelanda;1;83;64;0.67;1.8;1;1;1184;410;1;0;5;78
Nueva Zelanda;Italia;1;67;81;0.6;1;0;0;410;1184;0;1;78;5
Brasil;Costa de Marfil;3;86;64;3.33;1;1;0;1611;856;1;0;1;27
Costa de Marfil;Brasil;1;67;83;1.5;0.33;1;0;856;1611;0;1;27;1
Eslovaquia;Paraguay;0;67;74;1.33;1;0;0;777;820;0;0;34;31
Paraguay;Eslovaquia;2;75;64;1.4;0.67;1;0;820;777;0;0;31;34
Italia;Nueva Zelanda;1;83;64;0.67;1.8;1;1;1184;410;1;0;5;78
Nueva Zelanda;Italia;1;67;81;0.6;1;0;0;410;1184;0;1;78;5
Brasil;Costa de Marfil;3;86;64;3.33;1;1;0;1611;856;1;0;1;27
Costa de Marfil;Brasil;1;67;83;1.5;0.33;1;0;856;1611;0;1;27;1
Portugal;RDP de Corea;7;79;64;2;1.08;1;1;1249;285;0;0;3;105
RDP de Corea;Portugal;0;67;82;1.54;0.25;0;0;285;1249;0;0;105;3
Chile;Suiza;1;67;75;1.63;1.67;0;0;888;866;0;0;18;24
Suiza;Chile;0;75;64;0.67;0.25;1;0;866;888;0;0;24;18
Espa_a;Honduras;2;87;64;3;1.5;1;0;1565;734;1;0;2;38
Honduras;Espa_a;0;67;83;0.83;0.5;0;0;734;1565;0;1;38;2
M_xico;Uruguay;0;75;78;1.75;1;1;0;895;899;0;0;17;16
Uruguay;M_xico;1;84;76;3.5;0.67;0;0;899;895;0;0;16;17
Francia;Sudöfrica;1;85;70;0.75;0.55;1;1;1044;392;0;1;9;83
Sudöfrica;Francia;2;72;83;2.36;1.25;0;0;392;1044;1;0;83;9
Nigeria;Rep“blica de Corea;2;67;67;1.36;0.91;0;0;883;632;0;0;21;47
Rep“blica de Corea;Nigeria;2;70;64;1.73;0.73;1;0;632;883;0;0;47;21
Grecia;Argentina;0;76;78;0.67;0.6;0;0;964;1076;0;1;13;7
Argentina;Grecia;2;87;76;3;2;1;0;1076;964;1;0;7;13
Eslovenia;Inglaterra;0;74;84;3.5;1;0;0;860;1068;0;1;25;8
Inglaterra;Eslovenia;1;82;68;2.67;1;1;0;1068;860;1;0;8;25
Estados Unidos;Argelia;1;72;64;1.83;1.78;1;0;957;821;0;0;14;30
Argelia;Estados Unidos;0;67;73;0.56;2;0;0;821;957;0;0;30;14
Ghana;Alemania;0;67;81;0.78;0.5;1;0;800;1082;0;1;32;6
Alemania;Ghana;1;84;64;2.25;1.11;1;1;1082;800;1;0;6;32
Australia;Serbia;2;75;64;1.4;0.8;1;0;886;947;0;0;20;15
Serbia;Australia;1;67;73;2;1.2;0;0;947;886;0;0;15;20
Eslovaquia;Italia;3;67;81;1.33;1;0;0;777;1184;0;1;34;5
Italia;Eslovaquia;2;83;64;0.67;0.67;1;1;1184;777;1;0;5;34
Paraguay;Nueva Zelanda;0;75;64;1.4;1.8;1;0;820;410;0;0;31;78
Nueva Zelanda;Paraguay;0;67;74;0.6;1;0;0;410;820;0;0;78;31
Dinamarca;Japãn;1;75;64;0.75;1.27;0;0;767;682;0;0;36;45
Japãn;Dinamarca;3;67;75;0.91;1;1;0;682;767;0;0;45;36
Camer“n;Paêses Bajos;1;80;77;1.4;1;0;0;887;1231;0;0;19;4
Paêses Bajos;Camer“n;2;83;75;3.5;1.7;1;0;1231;887;0;0;4;19
Portugal;Brasil;0;79;83;2;0.33;1;1;1249;1611;0;1;3;1
Brasil;Portugal;0;86;82;3.33;0.25;1;0;1611;1249;1;0;1;3
Rep“blica de Corea;Costa de Marfil;0;70;64;1.73;1;1;0;632;856;0;0;47;27
Costa de Marfil;Rep“blica de Corea;3;67;67;1.5;0.91;1;0;856;632;0;0;27;47
Chile;Espa_a;1;67;83;1.63;0.5;0;0;888;1565;0;1;18;2
Espa_a;Chile;2;87;64;3;0.25;1;0;1565;888;1;0;2;18
Suiza;Honduras;0;75;64;0.67;1.5;1;0;866;734;0;0;24;38
Honduras;Suiza;0;67;75;0.83;1.67;0;0;734;866;0;0;38;24
Uruguay;Rep“blica de Corea;2;84;67;3.5;0.91;0;0;899;632;0;0;16;47
Rep“blica de Corea;Uruguay;1;70;78;1.73;1;1;0;632;899;0;0;47;16
Estados Unidos;Ghana;1;72;64;1.83;1.11;1;0;957;800;0;0;14;32
Ghana;Estados Unidos;2;67;73;0.78;2;1;0;800;957;0;0;32;14
Alemania;Inglaterra;4;84;84;2.25;1;1;1;1082;1068;1;1;6;8
Inglaterra;Alemania;1;82;81;2.67;0.5;1;0;1068;1082;1;1;8;6
Argentina;M_xico;3;87;76;3;0.67;1;0;1076;895;1;0;7;17
M_xico;Argentina;1;75;78;1.75;0.6;1;0;895;1076;0;1;17;7
Paêses Bajos;Eslovaquia;2;83;64;3.5;0.67;1;0;1231;777;0;0;4;34
Eslovaquia;Paêses Bajos;1;67;77;1.33;1;0;0;777;1231;0;0;34;4
Brasil;Chile;3;86;64;3.33;0.25;1;0;1611;888;1;0;1;18
Chile;Brasil;0;67;83;1.63;0.33;0;0;888;1611;0;1;18;1
Paraguay;Japãn;0;75;64;1.4;1.27;1;0;820;682;0;0;31;45
Japãn;Paraguay;0;67;74;0.91;1;1;0;682;820;0;0;45;31
Espa_a;Portugal;1;87;82;3;0.25;1;0;1565;1249;1;0;2;3
Portugal;Espa_a;0;79;83;2;0.5;1;1;1249;1565;0;1;3;2
Paêses Bajos;Brasil;2;83;83;3.5;0.33;1;0;1231;1611;0;1;4;1
Brasil;Paêses Bajos;1;86;77;3.33;1;1;0;1611;1231;1;0;1;4
Uruguay;Ghana;1;84;64;3.5;1.11;0;0;899;800;0;0;16;32
Ghana;Uruguay;1;67;78;0.78;1;1;0;800;899;0;0;32;16
Argentina;Alemania;0;87;81;3;0.5;1;0;1076;1082;1;1;7;6
Alemania;Argentina;4;84;78;2.25;0.6;1;1;1082;1076;1;1;6;7
Paraguay;Espa_a;0;75;83;1.4;0.5;1;0;820;1565;0;1;31;2
Espa_a;Paraguay;1;87;74;3;1;1;0;1565;820;1;0;2;31
Uruguay;Paêses Bajos;2;84;77;3.5;1;0;0;899;1231;0;0;16;4
Paêses Bajos;Uruguay;3;83;78;3.5;1;1;0;1231;899;0;0;4;16
Alemania;Espa_a;0;84;83;2.25;0.5;1;1;1082;1565;1;1;6;2
Espa_a;Alemania;1;87;81;3;0.5;1;0;1565;1082;1;1;2;6
Uruguay;Alemania;2;84;81;3.5;0.5;0;0;899;1082;0;1;16;6
Alemania;Uruguay;3;84;78;2.25;1;1;1;1082;899;1;0;6;16
Paêses Bajos;Espa_a;0;83;83;3.5;0.5;1;0;1231;1565;0;1;4;2
Espa_a;Paêses Bajos;1;87;77;3;1;1;0;1565;1231;1;0;2;4
Brasil;Croacia;3;84;66;3.33;1;1;0;1242;903;1;0;3;18
Croacia;Brasil;1;68;83;1.67;0;0;0;903;1242;0;1;18;3
M_xico;Camer“n;1;79;76;3;1.8;1;0;882;558;0;0;20;56
Camer“n;M_xico;0;76;74;1.4;1.5;1;0;558;882;0;0;56;20
Espa_a;Paêses Bajos;1;84;74;1.67;0.75;1;1;1485;981;1;0;1;15
Paêses Bajos;Espa_a;5;85;82;1;0;1;1;981;1485;0;1;15;1
Chile;Australia;3;78;68;2.25;2;1;0;1026;526;0;0;14;62
Australia;Chile;1;72;72;1.33;0.75;1;0;526;1026;0;0;62;14
Colombia;Grecia;3;81;75;2;0.75;0;0;1137;1064;1;0;8;12
Grecia;Colombia;0;75;76;0.5;1;1;0;1064;1137;0;1;12;8
Uruguay;Costa Rica;1;84;66;1.33;2;1;1;1147;762;1;0;7;28
Costa Rica;Uruguay;3;68;78;0.8;0.33;0;0;762;1147;0;1;28;7
Inglaterra;Italia;1;84;81;1.5;0.67;1;0;1090;1104;0;0;10;9
Italia;Inglaterra;2;80;81;0.33;0.5;1;0;1104;1090;0;0;9;10
Costa de Marfil;Japãn;2;80;66;1.67;1.5;1;0;809;626;0;0;23;46
Japãn;Costa de Marfil;1;68;72;3;1.67;1;0;626;809;0;0;46;23
Suiza;Ecuador;2;70;66;1.67;2.25;1;0;1149;791;1;0;6;26
Ecuador;Suiza;1;71;75;2;0.67;0;0;791;1149;0;1;26;6
Francia;Honduras;3;85;66;3.75;1.75;1;0;913;731;0;0;17;33
Honduras;Francia;0;68;80;1;0.25;1;0;731;913;0;0;33;17
Argentina;Bosnia y Herzegovina;2;85;66;1.67;1;1;0;1175;873;1;0;5;21
Bosnia y Herzegovina;Argentina;1;68;78;1;0;0;0;873;1175;0;1;21;5
Alemania;Portugal;4;84;80;2.25;0.5;1;1;1300;1189;1;0;2;4
Portugal;Alemania;0;81;82;2.75;0.75;1;0;1189;1300;0;1;4;2
Ri de Irön;Nigeria;0;68;66;1.17;1;0;0;641;640;0;0;43;44
Nigeria;Ri de Irön;0;68;66;0.75;0.83;1;0;640;641;0;0;44;43
Ghana;Estados Unidos;1;68;69;1.33;1;1;0;704;1035;0;0;37;13
Estados Unidos;Ghana;2;75;66;1.67;0.67;1;0;1035;704;0;0;13;37
B_lgica;Argelia;2;80;66;2.5;0.67;0;0;1074;858;1;0;11;22
Argelia;B_lgica;1;68;79;2.33;0.75;1;0;858;1074;0;1;22;11
Brasil;M_xico;0;84;74;3.33;1.5;1;0;1242;882;1;0;3;20
M_xico;Brasil;0;79;83;3;0;1;0;882;1242;0;1;20;3
Rusia;Rep“blica de Corea;1;76;66;1.5;1.83;0;0;893;547;0;0;19;57
Rep“blica de Corea;Rusia;1;68;76;0.5;0.25;1;0;547;893;0;0;57;19
Australia;Paêses Bajos;3;72;66;1.33;0.75;1;0;526;981;0;0;62;15
Paêses Bajos;Australia;2;68;68;1;2;1;1;981;526;0;0;15;62
Espa_a;Chile;0;84;72;1.67;0.75;1;1;1485;1026;1;0;1;14
Chile;Espa_a;2;78;82;2.25;0;1;0;1026;1485;0;1;14;1
Camer“n;Croacia;0;76;66;1.4;1;1;0;558;903;0;0;56;18
Croacia;Camer“n;4;68;76;1.67;1.8;0;0;903;558;0;0;18;56
Colombia;Costa de Marfil;2;81;72;2;1.67;0;0;1137;809;1;0;8;23
Costa de Marfil;Colombia;1;80;76;1.67;1;1;0;809;1137;0;1;23;8
Uruguay;Inglaterra;2;84;81;1.33;0.5;1;1;1147;1090;1;0;7;10
Inglaterra;Uruguay;1;84;78;1.5;0.33;1;0;1090;1147;0;1;10;7
Japãn;Grecia;0;68;75;3;0.75;1;0;626;1064;0;0;46;12
Grecia;Japãn;0;75;66;0.5;1.5;1;0;1064;626;0;0;12;46
Italia;Costa Rica;0;80;66;0.33;2;1;0;1104;762;0;0;9;28
Costa Rica;Italia;1;68;81;0.8;0.67;0;0;762;1104;0;0;28;9
Suiza;Francia;2;70;80;1.67;0.25;1;0;1149;913;1;0;6;17
Francia;Suiza;5;85;75;3.75;0.67;1;0;913;1149;0;1;17;6
Honduras;Ecuador;1;68;66;1;2.25;1;0;731;791;0;0;33;26
Ecuador;Honduras;2;71;66;2;1.75;0;0;791;731;0;0;26;33
Argentina;Ri de Irön;1;85;66;1.67;0.83;1;0;1175;641;1;0;5;43
Ri de Irön;Argentina;0;68;78;1.17;0;0;0;641;1175;0;1;43;5
Alemania;Ghana;2;84;66;2.25;0.67;1;1;1300;704;1;0;2;37
Ghana;Alemania;2;68;82;1.33;0.75;1;0;704;1300;0;1;37;2
Nigeria;Bosnia y Herzegovina;1;68;66;0.75;1;1;0;640;873;0;0;44;21
Bosnia y Herzegovina;Nigeria;0;68;66;1;1;0;0;873;640;0;0;21;44
B_lgica;Rusia;1;80;76;2.5;0.25;0;0;1074;893;1;0;11;19
Rusia;B_lgica;0;76;79;1.5;0.75;0;0;893;1074;0;1;19;11
Rep“blica de Corea;Argelia;2;68;66;0.5;0.67;1;0;547;858;0;0;57;22
Argelia;Rep“blica de Corea;4;68;66;2.33;1.83;1;0;858;547;0;0;22;57
Estados Unidos;Portugal;2;75;80;1.67;0.5;1;0;1035;1189;0;0;13;4
Portugal;Estados Unidos;2;81;69;2.75;1;1;0;1189;1035;0;0;4;13
Australia;Espa_a;0;72;82;1.33;0;1;0;526;1485;0;1;62;1
Espa_a;Australia;3;84;68;1.67;2;1;1;1485;526;1;0;1;62
Paêses Bajos;Chile;2;85;72;1;0.75;1;1;981;1026;0;0;15;14
